date,経済成長率,失業率,雇用コスト指数の伸び率,平均時給の伸び率,インフレ期待,消費者物価の上昇率,消費者物価の上昇率（食品・エネルギー除く）,卸売り物価（PPI）の上昇率,個人消費の伸び,新車販売台数(百万台),小売り在庫／販売の比率,住宅価格の上昇率（前年同月比）,新規住宅着工件数
2011/02/01,-0.49284300182832896,-1.2429357135663042,0.33322238417609223,-0.3673459898885806,0.9910518439413831,-0.002032470271696843,-1.6066383741676458,0.7484049702658851,-0.14902145367022893,-1.2980430047418996,0.2724162394192304,-1.553046816427977,-1.7665097120149587
2011/03/01,-0.49284300182832896,-1.2429357135663042,0.33322238417609223,-0.5857167208277528,1.3155294241574285,0.3133053162573396,-1.5083628135966891,0.8196272860164626,0.045012345243500215,-1.2160349301939708,0.2724162394192304,-1.6095578757908255,-1.6492448511408007
2011/04/01,0.0475671459513926,-1.2879453748356489,0.9822599760210088,-0.04026731090649862,1.7241623694323667,0.6054554624700723,-1.4618490402796767,1.0295960204856043,-0.21369938664147195,-1.1851667223585145,0.3604459412402929,-1.6525668055700045,-1.6549650882566134
2011/05/01,0.0475671459513926,-1.2429357135663042,0.9822599760210088,0.1762465953527739,1.140463992216554,0.8489628168191722,-1.3894374727912011,1.0729335089748664,-0.21369938664147195,-1.6670793402075774,0.2724162394192304,-1.6564258578646915,-1.5491407016140806
2011/06/01,0.0475671459513926,-1.2879453748356489,0.9822599760210088,-0.36867578120355204,0.7256997494396973,0.8766130666158594,-1.329956559277348,1.1693422265362483,-0.019665587727742816,-1.848602831060857,0.3604459412402929,-1.5844360048667596,-1.4976585675717675
2011/07/01,-0.3759975644705514,-1.2429357135663042,-1.3646455736592065,0.3901185859440239,1.1100479477462526,0.9260897929126448,-1.1331926808136672,1.1719314327619375,-0.019665587727742816,-1.4643627514374167,0.3604459412402929,-1.5223416342437674,-1.5405603459403618
2011/08/01,-0.3759975644705514,-1.2429357135663042,-1.3646455736592065,-0.9097278378381339,0.4968781237144948,1.0377943295958174,-0.7646224475778274,0.9947004145530445,-0.21369938664147195,-1.5178062157495504,0.2724162394192304,-1.458788549855839,-1.4661972634347982
2011/09/01,-0.3759975644705514,-1.2429357135663042,-1.3646455736592065,-0.15314011034146266,-0.2858484786357416,1.074553293207494,-0.6543118039412478,1.0334126617793933,-0.019665587727742816,-1.1713451367605494,0.3604459412402929,-1.4417814871196073,-1.572021650077331
2011/10/01,0.3250750596761144,-1.1529163910276143,-1.0370150674650631,0.38589601862779993,-0.0877648511556745,0.8893390043846225,-0.4733808925832044,0.6902595018264612,-0.019665587727742816,-0.9990360363059131,0.4484756430613554,-1.4811621995302358,-1.3975544180450474
2011/11/01,0.3250750596761144,-1.0628970684889238,-1.0370150674650631,-0.6932548932837489,0.045486391285652385,0.8441533220635736,-0.4744042442444749,0.6227245988494944,-0.278377319612715,-0.9930466825467948,0.3604459412402929,-1.5396263988577905,-1.2974502685183273
2011/12/01,0.3250750596761144,-1.017887407219579,-1.0370150674650631,-0.3705476306182102,0.03831344655796179,0.5957801638250274,-0.14723955526604693,0.3400328468565706,-0.14902145367022893,-0.9677071089505249,0.3604459412402929,-1.5831184248434151,-1.3231913355394838
2012/01/01,0.13520122396972578,-0.9278680846808893,-0.054363223372866705,-0.26324120152833946,0.2265342750374538,0.5617801873532133,-0.039710077866796305,0.17215656770035132,0.10969027821474328,-0.6926575555510126,0.4484756430613554,-1.517758985655461,-1.2802895571708894
2012/02/01,0.13520122396972578,-0.9278680846808893,-0.054363223372866705,-0.2636574780162551,0.6538072806917093,0.49123702510978595,-0.19408517946133272,0.0018953751644558256,0.23904614415722933,-0.425440233990347,0.4484756430613554,-1.3814396130974638,-1.205926474665326
2012/03/01,0.13520122396972578,-0.8828584234115436,-0.054363223372866705,0.37921539815886285,0.9205731079507289,0.2901075803814685,-0.02576444352864192,-0.06283578010848095,-0.21369938664147195,-0.6009743710845085,0.4484756430613554,-1.1534042897915011,-1.0114384127276983
2012/04/01,-0.08388397107610726,-0.8828584234115436,-0.06830014978710697,-0.26531189193480464,0.7831961682796642,0.09254475316544669,0.08327581618887664,-0.3798759904327011,-0.08434352069898586,-0.5203484550963763,0.2724162394192304,-0.996891856877078,-1.2230871860127637
2012/05/01,-0.08388397107610726,-0.8828584234115436,-0.06830014978710697,-0.5857167208277528,0.42943957602765714,-0.24886821867982908,0.07678648095144769,-0.5764781516847872,-0.14902145367022893,-0.6461248840378618,0.09635683577710738,-0.8675668241194886,-1.0400395983067612
